geneNames	GSM302859	GSM302864	GSM302866	GSM302870	GSM302872	GSM302882	GSM302896	GSM302900	GSM302924	GSM302927	GSM302933	GSM302943	GSM303364	GSM303366	GSM303368	GSM303520	GSM303522	GSM303523	GSM303525	GSM303531	GSM303533
FNDC4	431.807	241.121	788.741	1197.51	103.73	217.363	84.4102	108.869	445.095	178.384	112.424	57.7694	92.0111	149.558	252.315	86.214	1075.32	328.332	154.968	323.238	1096.63
FNDC8	15.9803	16.7901	11.9937	10.7024	51.0306	10.7955	21.1372	12.1687	12.4381	14.4267	22.1148	10.1278	15.2226	11.9123	10.745	24.3141	15.8495	10.5076	79.6371	25.369	24.7267
FNTA	1717.018	1699.681	2445.425	1792.92	1600.878	1905.625	1912.752	1901.387	2189.66	1700.4305	2050.25	1914.11	1765.4295	2022.718	1682.5505	1415.332	1878.5365	1823.396	1634.4325	1644.4595	1495.7265
FOCAD	337.887	348.819	292.288	157.497	501.136	417.452	372.545	445.677	323.032	357.902	372.731	360.394	373.516	467.164	387.398	187.042	253.766	286.2	281.986	307.988	332.731
FOLH1	51.8865	36.0114	86.2223	39.9324	31.7715	62.5525	103.722	39.7312	34.0431	44.5524	16.9798	44.2813	35.5208	86.7314	48.6407	72.5962	113.336	87.9353	69.344	53.2222	112.866
FOLH1B	24.4825	3.40985	5.79054	3.82782	18.3223	62.2358	35.0462	61.2255	6.23002	34.3054	37.5151	37.5202	13.0513	16.9577	48.6117	30.3193	51.0532	7.40873	9.03406	8.33331	31.5061
FOLR1	94.006	162.692	186.455	246.092	219.807	157.129	284.985	136.211	172.184	162.083	91.5022	118.314	264.809	202.361	116.831	100.426	187.05	154.205	158.083	234.704	119.365
FOLR2	1905.62	5069.18	1972.88	858.451	1776.99	2102.51	3318.57	3314.6	1210.41	2895.82	2810.69	3912.63	2086.74	2613.41	2637.36	3006.75	1435.93	3264.78	3407.14	4267.22	2925.87
FOLR3	12.0749	36.9498	70.949	512.599	69.5952	26.4396	62.3956	42.375	82.3615	82.1698	17.9571	19.6396	92.294	15.7024	130.877	35.8187	85.3765	51.2342	29.7249	23.4004	118.32
FOS	5283.21	380.627	7564.4	3853.86	953.178	1448.64	378.569	1169.89	680.751	497.733	633.673	586.125	13446.1	3546.51	704.236	9763.34	10931.1	798.25	14617.7	16172	10014.1
FOSB	3358.31	24.3154	1922.08	2047.49	36.2298	60.9384	25.4292	60.0285	27.9464	13.5709	15.2132	13.2255	4221.12	339.543	179.824	3127.91	6943.01	14.4351	14120.5	16552.5	4770.23
FOSL1	435.636	68.7187	19.068	3064.54	190.5	114.408	134.603	87.7882	112.836	155.166	38.382	101.395	37.3969	106.477	193.557	233.546	688.661	74.7406	186.676	50.0007	420.803
FOSL2	620.158	245.989666666667	183.641333333333	525.529666666667	175.6344	117.3164	224.158666666667	120.908333333333	162.4112	210.4258	92.6322	181.963666666667	195.7968	192.153666666667	154.732333333333	411.236	582.253666666667	205.513666666667	261.423333333333	269.993333333333	995.827666666667
FOXA1	42.8604	52.555	32.7973	74.2539	91.4626	42.5837	73.1401	99.6359	61.1015	49.2909	72.0707	55.7129	50.3535	75.8619	67.132	65.094	84.0998	31.3139	45.3648	48.2329	75.9735
FOXA2	19.66716	24.3798433333333	30.67952	44.3677233333333	65.5290666666667	27.2551666666667	28.715	28.7333166666667	21.01731	37.2819666666667	19.2517533333333	50.6475333333333	36.0289066666667	56.3410566666667	23.1527966666667	41.3179433333333	31.3318	13.0524166666667	15.05491	17.8608	32.2147666666667
